provider,token_amounts_a,token_amounts_b,fees_a,fees_b,token_supply,event,logIndex,transactionIndex,transactionHash,address,blockHash,blockNumber,block_date
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,158050851028204578791347,RemoveLiquidity,368,84,0x294aec091296f456aa731f8c3d6cd1051994f2725959c68765a8f1d17d4cc5b5,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x2c237919c60967b0fdd90eb98f1dce54c31fad96690e3805226c6b32bbde66b7,18072220,2023-09-05 19:00:23
0x473C6494180ad9Cd726f8a7a51cF8e88Bbf72bc6,8316635477497438768,8405189276797795629,0,0,157939312672416891127390,RemoveLiquidity,270,140,0x7f09723d8d95574118f95559a982cc20efb472d5a51629195b41e74756264230,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x510cd8327fcdd17035e9b9a3d2354f84120309892b1a936cbb81049426b9efa4,18076704,2023-09-06 10:06:11
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,157924873595987133784947,RemoveLiquidity,292,108,0xb0d55625837f067c329c0f05111dc70c64365b3d99e897b1567a7b1d89bb27f0,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xe7df698c07fe432ae4a32b3b52a7d18d1789a7f8fdd0df171e36e0086319b435,18079349,2023-09-06 19:00:23
0x0C16480277aEa9585Ed345fFf1B64855ccFd959d,5983926151499956102,6125370599504863484,0,0,157903894409893045151139,RemoveLiquidity,154,45,0x3a97a52df1d5933fd11ccb79ab1bb853660bc8ebb88967de29e1c2caf25a05ee,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xe950870ca17b57123bb985fd3e7ece0b1e5204ced4d9eafa169fdfeb1680dd93,18079749,2023-09-06 20:21:47
0x2FF45e654929b8eB049E52B55F1178e76528F45f,5582866792322972,5655823564622859,0,0,157892185871228972278070,RemoveLiquidity,283,87,0x3f2cd7ae6f43569625ae08231445a5ca5c6d6e411cdb96748954c522f47507a0,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xd0b1200cceddb6af96d7bead4df4f1bba0e8859ca09c41b2fe8015f86f91aeab,18083220,2023-09-07 07:59:23
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,157867793228353101420839,RemoveLiquidity,312,87,0x3325b33030b96ea14feb42ce42cd249394afe0dffe292c828301063cff289ad7,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x2f5d29a231b9f61fe6f3683ee029841f3bf010ae7581174ac78f6ca91f807987,18086496,2023-09-07 19:00:23
0xA3501719d05DFF02Ecf1B11468E79f77ff210201,397950549023613155,401561816491095538,0,0,157817980934335281893547,RemoveLiquidity,133,97,0xdef50ad6533763a98a1191e581797e50fd6c88620661a95eb646ce8c2ccf910d,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xe0ea4a4c4de22e977845ead806fd0608aa5539f08650f60a223784fc6bdbdda2,18090144,2023-09-08 07:15:11
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,157816752110160194671072,RemoveLiquidity,107,40,0xca725fa76baf68843e1444fc84c3fa78827f6d07ef79ea2b7911e2fa89fb861b,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x7e39e555c77f210764e8295d0adaeb54998a2bb08059626aa1495cd71853a089,18093642,2023-09-08 19:00:23
0x87A22d34C77e0775ef82Aa03F7c79F8eF61bcB77,16210808067986362523,16377240131519431386,0,0,158203581327585581804096,RemoveLiquidity,352,127,0x5d25c65a18d907927624eb0d3dec1ac50c50b5939924d12a338ef28a95381eb5,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x891a4d226113534dafe8d356cc9ccf5269b5aaed07736aba07bdf8f3a5317dcf,18099871,2023-09-09 15:57:47
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,158195413198113733109730,RemoveLiquidity,521,393,0xb5dc6e9f00e69a4016cb55bdb690c5dd6e8123f7ed0efc58063191553e4eba90,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x06cbb33ea549295acfb8406cc7640db6f78e126e0db51ef31d89333b82162013,18100777,2023-09-09 19:00:23
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,157927255118865789194714,RemoveLiquidity,157,32,0x4f7403370cccef2b1f535365e62028563ea1b2aa300b293c277a5c514ed0e45e,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xf9f62746e4c9388420c1f3ea19ed7fa7c0d42aaa0e6c55251333ad8b089b77dc,18107921,2023-09-10 19:00:23
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,157697483635044075731818,RemoveLiquidity,207,46,0xbc932b9cce7b8aa43de14406d8964d7183457e77a2f705c1d835cfdecaaba215,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x812153be1a8a51927d14a9ddfd1ccec3278a314f99447cedcf2258bf1b2512d7,18115057,2023-09-11 19:00:23
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,147915680594273473751182,RemoveLiquidity,288,69,0x1d09d8a150172c9c2318bdfd566ceb594ad52129470c1fd14868e0bd10fca484,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x85262a108001e9dfebd3f8b529d5990e443778a9cb69dc58ee068071b9d200e6,18122195,2023-09-12 19:00:23
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,147636238671991494903369,RemoveLiquidity,297,122,0xc05ca2c5a31b2ddcacd2e4f0e888b2ca57869b83a8c59f6558ac39b6ea473c05,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x14375cba48a37cb54dc48039f3fd0e327395cffaccd1015650430c96499957db,18129322,2023-09-13 19:00:23
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,147386289184876383742537,RemoveLiquidity,563,274,0x2d733c53d8b9ed9e1f41aed3928ae57d5928638f24e8069cf0c0be3cb0ab7760,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xa154c427517a15d6e4d52de88e7a9bb1e999c8c7733136cb74df4adf46bc9cc0,18136445,2023-09-14 19:00:23
0x820C0E6343e1C43B6bEcaBf03e3b4D26Bd43A803,19926364176168371,20022963335070478,0,0,147360249772683000086754,RemoveLiquidity,106,43,0xfddb965daf5ca20ce612e69b38710bd1d0a3671dcd1c0c3069b9b3483d08e12d,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xd8b7e5e8ae75270923f204786d130d59f52df76b57dd31a57582685974a88e41,18137863,2023-09-14 23:46:59
0x6C8ede45e6fcaA071719676940D8ace2C6A02812,17894748698181081035,17946715046199275406,0,0,147312435143776302361548,RemoveLiquidity,423,167,0xaa482c120ca80e7f9a203687e6c3346094ebcf4debc4584b443f536a6064c21a,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x025003918fe35b1ee468e56e88be6f4ad0d033bb75c8e0ce07ac028f33829b79,18140706,2023-09-15 09:23:23
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,147312018873645606972345,RemoveLiquidity,230,66,0xb8769b7f28afc2ced51753a18b2611b36521d53a61bda8c8888dd2768c134d19,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x286ac77b61cbf92b012aec59377b70d85601f993791668c5945f999459eea465,18143543,2023-09-15 19:00:23
0xAb224D76A76CDf2716b56993D682f05284Be1088,446937197353889523,450861332597732154,0,0,147311932962794289964096,RemoveLiquidity,141,80,0x2b1882d4904b25f24c6f55fada65f6a8945e763719c7e640ddd37f944427b32a,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x170dd1a0a3198aa36b8308a6a8aeacac6e11f55f3d6ecb99be636c60f9d4ed4f,18144683,2023-09-15 22:51:23
0x7A44388EE600786b4116d0df718A2dcfAda42BfD,99907029332692457,100619584227163059,0,0,147305955898459010594004,RemoveLiquidity,501,130,0xd80116712aac7c20623c4287703ef1b4cdcc9826e65473ee7acb4fad44b71394,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xe0c347bd7cf04f5b1de18291dfebb94bda7b9635824a9ac927800813a2b0b6b9,18145746,2023-09-16 02:27:11
0x2F03CE8B4e68b860Ea89a59010F964E377fc058C,1364078607955770847,1377596874841372985,0,0,147305955898459010594004,RemoveLiquidity,146,70,0x117595dbb879b0b12c80416ec592acfcad9f1c88b19b3a923b65f01c949ed25f,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xaaf598f8b7009bd17ea66dd5c12f94d0ed635a4bc7583cb3c9d19d9fc6890e9d,18145851,2023-09-16 02:48:23
0x9991897C5ccBBAD24Daf6CD450A3E233E593778c,3430198085235331343,3464191971596604858,0,0,147299573199880980077786,RemoveLiquidity,191,73,0x824ebb812ec6bc62c5a66e26fabef156bb3f3fe65d0c0ad8e2a32120995abba7,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x9ceb8265bee76b315b4653f0d67eaeb5eb4c860234c4db9b1afd967fdb0ace9a,18145871,2023-09-16 02:52:35
0xF0D98b95BBbE6e3007703C99A9FFC3D9f5b581E6,6983640620407344,7031251541064098,0,0,147294721110972152997011,RemoveLiquidity,263,98,0xa7990e9d3d902619385e47bce192504fa55d017921492308df1a0aa9dbb28ae2,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x2a6c536deb687aebcf527b30b28e14f7190158b479782bb3658b3af8ef9ad778,18147860,2023-09-16 09:35:59
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,147291030583523590713336,RemoveLiquidity,308,110,0xbbfde46704269c81eec2a7a525dca1ab4abbed8af72eb351bb727e1f828ced47,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x4a3d19614e9103417189f5fdab6bbd682f2262ed29d93a7cec606403d82a0b06,18150630,2023-09-16 19:00:23
0x763e5Ee526674AE4e86A22F23dAe5Ea08df48c98,2592260348676144023,2598706962217131400,0,0,147212898351961654699595,RemoveLiquidity,141,91,0x389adfee860f4cc1b558df6c551a16da2093fc61996ccbf2bcc217c501c0b68a,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xa96fd5f71c19cc67b85962d7cc371c2df402b8c1d6aa3a04e8b89731f8bab9d7,18156958,2023-09-17 16:34:11
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,147212855939695413481056,RemoveLiquidity,242,117,0xf13c45df874ac43c9c8847cfbfd86ecafa4304c2d577a2cdd7c8cd33d466480a,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x26031b28d76d6bbd7debf093f39543ba2f8a07dbc53ec6a668b9319bb5cec110,18157674,2023-09-17 19:00:23
0xDB7D442eC0Aa65Cf40dD6FC5ba9f950b6D0233d5,158900846594295125,159521322156601558,0,0,147215114764977284215133,RemoveLiquidity,110,38,0xd6cfb0944950eaab48ebec310c2c27f6146d1d3c961d5bee2d4ec084b42c94c9,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xf075b97759a9bfbbdd0ad7bfe1d51f45f5a8294af45ee578679f9dedbd047609,18160654,2023-09-18 05:07:11
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,147075085918367833671012,RemoveLiquidity,278,91,0x0f9defc72fa7c69f15e46f703407e8cbf326ecc6f0507ea82672a98eaa4049e0,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x6eaf029c4082f50c57396dd3829b1b71b42dca324fd2338f391b07844fc638fe,18164768,2023-09-18 19:00:23
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,146956425179731935642372,RemoveLiquidity,559,189,0xebf0409cff4f44d7f76a37344e2af1840a8d254086aa5ebbbaf0411eed5ffabd,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xc28903627f7a8a4ea3f45f392b43845628575902d8576b72bde536b21c44c19d,18171901,2023-09-19 19:00:23
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,147017437575211384300978,RemoveLiquidity,707,136,0x301c7e0bde5a6c75c6dab2d6147fc49c9b34ce70c187121df7eb9b0a74962434,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xd71c913cc124488d2f7f793028a0b389994c80e0f0c3385948b7c388ff128117,18179055,2023-09-20 19:00:23
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,147006484674069106821292,RemoveLiquidity,400,118,0x103ec0c490abfc6e9d9e262bed8539b05149f6e5e2d1bce8420a5e239938c302,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x1d7f8a66b1f6c1472b61cb6d8bbb4980a5949f6f0fa37175f8e1ac474902f8aa,18186194,2023-09-21 19:00:23
0x67F1b5c4eA708119713F318614b3bcaf47b0D4b7,272854083159339451,275276583952212674,0,0,146933911958541904013344,RemoveLiquidity,85,44,0x8cdbcb03fb8c02e0c5cbc5ccd7b25e05b91a2af363874397074047f03e51e39c,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xa427c7fa27f3d7954268afa74e9950b58d43b272517f2ac9e32fe5c0271b8083,18188895,2023-09-22 04:04:35
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,146686922208540446099681,RemoveLiquidity,188,35,0xa70822cea3f3f37b44438d56b8825ef01e0072d1533dc53fae1b1ef0672de600,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x8fdbeade83461943d5117af8ca94efc3e893f84d709b104a1a02c30befb48121,18193318,2023-09-22 19:00:23
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,146688141755996153767023,RemoveLiquidity,425,132,0x58bdc67854bd144d342b5cf2ab98b815d94ef4a44acaf2af87e46a1d71064fdc,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x82ef2d79f54e23947a7f8ea0950973aa22059070041cdc7405f83a3dd3cc3959,18200463,2023-09-23 19:00:23
0x225bc778fF20a3B50a06e9A2fFadf7CCd5d7728e,538664111994849729,541937543132071673,0,0,146709728330909749327438,RemoveLiquidity,75,22,0x7763c08432e7dcc5c0859c459decc1be109c70c7c18d5445d3ed870fc1502d09,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xa7de290db2bd2341371fcecf91428fb931d8d706eac8c233fe79bdee5da2950d,18203289,2023-09-24 04:30:23
0x225bc778fF20a3B50a06e9A2fFadf7CCd5d7728e,9411496767717128309,9468689897542038121,0,0,146692256780153162858436,RemoveLiquidity,47,23,0x77bfe37e575d545e4eade11f8cb92762cb5df5aaecaabd3c3667f48b0b844470,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x636ae3cfc28cae4baf2afbf8ba9b0fa423a08eced0b9c39c2adb677260026b13,18203426,2023-09-24 04:57:59
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,146687509762989904449627,RemoveLiquidity,226,88,0x233ae46fee60237de8e3a914c22087cb0f3dd8a3bf96cab88370ffc3aa98cb61,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x28de19e26eca1d911121858179885193da57f73a68feaa178eb7c8ed7af82a09,18207600,2023-09-24 19:00:23
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,146487790073011927292162,RemoveLiquidity,77,32,0x2a1bc3a295cda6494f77243f7320a36cc5c258240b1ebeb274ccdcf7ba76274c,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xd7363becf497df0a44bcded0a352375f1b3e4e2e540dc66007fee717e6da0ee9,18214750,2023-09-25 19:01:23
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,146496301721688111993361,RemoveLiquidity,633,315,0x7122aabb45d6ff6eeb5eb1ab374239acc5ecceb45d7bab52a42bfdf03382b17a,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xa733d08091896795dbe6a26f0f626f9204eb78bf3cfcc60791076d9e434ba1e7,18222192,2023-09-26 20:00:23
0xeF3a3737a7aEF456e67CAf52c606a434954a05cb,79831422341545936,80249854843695454,0,0,145612014254393072024182,RemoveLiquidity,67,40,0x13431615fe3ffb1c00237440fc47d95e7e66d6b3c85abae7fb5c7fa862be8904,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xb41769456fedb2e66e0af1c9ba3093140f3c661549e7699fb759d0a46fe57aaa,18227236,2023-09-27 12:56:47
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,145505610958838817802420,RemoveLiquidity,414,144,0xc83d18d388d55a5335eaf7a2923cdd2bbabc8288466478f53356b6182b1fb7ea,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x167f620136fbe7e64273b1f3125bd70984f77ae4eb6532bfb689fc0aa3fafeac,18229338,2023-09-27 20:00:23
0x01e6fd0aE73D9194b19f9B376065577927A0D5f5,11277280470308396551,11346364589043783718,0,0,145454191106190665465492,RemoveLiquidity,51,37,0x1ce6acae406068664665ac08b699e6abe1c65e35e93fb02e5febf0df8baffaee,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xae51ad104e222edabb06230639986936593a36d1462aae1344b2a2d32cf7cd2d,18232064,2023-09-28 05:09:23
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,145273941254284039803111,RemoveLiquidity,482,152,0x5c5e21717536c666fac152334e563bc64f0ab026ad4b2cdbd45e4eaad4c1912d,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x5c94dac94643f5ce9b854a4b2b1bc91881e810d7f07f51bc06fb406e23f91db5,18236475,2023-09-28 20:00:23
0x1f84Ca2C0A406b32e083E4E41032FD148364Df48,242815752492023737494,246057351018816076483,0,0,144129542935507107027899,RemoveLiquidity,192,65,0xc9a3e8ddd71ffd0c23c88edd924290564eeaedee79e207e0fcfd58a9d47fc3bd,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x44d53b5f11b079c881f6bdaeac933a3a7ead4553babff2d8c3a0084d964917a6,18237214,2023-09-28 22:28:59
0x5F8f52DDc15990a45ba5AaB85dFd9fdfae11B661,12942349491403414953206,13011206501711296346031,0,0,119239631618256428344961,RemoveLiquidity,348,152,0xf840ebaaaa82a557e912cd7101d09c55059f3db3fc86bacc099e42650f1d54ca,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x58680e2af906e58e0a11a6debe66fac034aac7262629d4c8e67f445e88f9caa7,18238983,2023-09-29 04:25:47
0x7bf0ab0D8002BE53773df9B6F4620AF4234b6f59,10787485478511642,10842147260627481,0,0,119239660373427586239456,RemoveLiquidity,58,33,0x9fddb2ed283d4e0f003e74d8e1366ba674de74b0cbe61ed11db1771128253265,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x286d25193b0b1b657df1551888ffa5b4f381c4386033ea6c8bb73653bef7708d,18240304,2023-09-29 08:52:47
0xEa508F82728927454bd3ce853171b0e2705880D4,0,0,0,0,118977889340583582361851,RemoveLiquidity,554,230,0x25dc5ce1f6cd8f58fea794565a6c3936d719572ade87f58599f502e39f35248f,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x01c1acf6be59f2fd4ecc4d31bef837140824475c7ade6cfd9035c5ee3da27fd7,18243615,2023-09-29 20:00:35
0x6aa1FE4b4F69D2b87646A165b6A89DC489010021,9972591015579621450,10027411452514954312,0,0,118977889340583582361851,RemoveLiquidity,199,55,0xd44f02dd1580478930809a9624299292bd3a9c6f7cd9e54447e983130a3bcb66,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x9d5fb64faeacb9577d46381f1246e028d4793e89e5ce4d6f6b734a1c913f0f86,18243682,2023-09-29 20:14:11
